Imports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2024-06-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",California,1868,1205,Weight in kilograms
2025-03-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",California,214,100,Weight in kilograms
2023-10-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",California,26208,18285,Weight in kilograms
2025-06-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Colorado,22,14,Weight in kilograms
2025-01-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Connecticut,22,10,Weight in kilograms
2023-11-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Delaware,17419,18758,Weight in kilograms
2024-02-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Delaware,90041,111793,Weight in kilograms
2024-07-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Delaware,30745,35416,Weight in kilograms
2025-05-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Delaware,22244,17418,Weight in kilograms
2025-08-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Delaware,49725,20965,Weight in kilograms
2024-01-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Florida,20759,17007,Weight in kilograms
2024-09-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Florida,13866,2479,Weight in kilograms
2025-01-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Florida,1328,658,Weight in kilograms
2025-09-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Florida,36530,36749,Weight in kilograms
2024-01-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Idaho,1022,336,Weight in kilograms
2024-03-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Idaho,1,1,Weight in kilograms
2024-07-01,"0803.90 - Bananas, other than plantains, fresh or dried",Canada,"United States",Illinois,5,4,Weight in kilograms
