Imports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2023-01-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Sri Lanka",N/A,373,37,Weight in kilograms
2023-01-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"China",N/A,2231,400,Weight in kilograms
2023-01-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"United States",Idaho,15668,318,Weight in kilograms
2023-02-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Jordan",N/A,109,50,Weight in kilograms
2023-02-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Nigeria",N/A,294,135,Weight in kilograms
2023-02-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Peru",N/A,7477208,2775671,Weight in kilograms
2023-02-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Jamaica",N/A,11478,3766,Weight in kilograms
2023-02-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"United States",Rhode Island,402,37,Weight in kilograms
2023-03-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Nigeria",N/A,570,294,Weight in kilograms
2023-03-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Sri Lanka",N/A,244,24,Weight in kilograms
2023-03-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"United States",Oregon,1221,106,Weight in kilograms
2023-03-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Taiwan",N/A,409797,212340,Weight in kilograms
2023-03-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Guyana",N/A,2975,795,Weight in kilograms
2023-04-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Ecuador",N/A,31206,3221,Weight in kilograms
2023-04-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Guatemala",N/A,295526,164706,Weight in kilograms
2023-04-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"United States",California,11750,1078,Weight in kilograms
2023-05-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Nicaragua",N/A,2005,401,Weight in kilograms
2023-04-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Taiwan",N/A,429306,89960,Weight in kilograms
2023-04-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Trinidad and Tobago",N/A,860,526,Weight in kilograms
2023-04-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"United States",North Dakota,19,2,Weight in kilograms
2023-05-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Senegal",N/A,79,54,Weight in kilograms
2023-06-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Mali",N/A,3,10,Weight in kilograms
2023-06-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Philippines",N/A,1370256,80564,Weight in kilograms
2023-06-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"United States",New Jersey,198,20,Weight in kilograms
2023-06-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"United States",Utah,220,22,Weight in kilograms
2023-06-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Lebanon",N/A,435,129,Weight in kilograms
2023-06-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Pakistan",N/A,251632,86327,Weight in kilograms
2023-06-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Indonesia",N/A,1218,46,Weight in kilograms
2023-06-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Trinidad and Tobago",N/A,3905,293,Weight in kilograms
2023-06-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"United States",Pennsylvania,67,6,Weight in kilograms
2023-06-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"United States",Tennessee,207,20,Weight in kilograms
2023-07-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"Thailand",N/A,698254,61273,Weight in kilograms
2023-07-01,"0804.50 - Guavas, mangoes and mangosteens, fresh or dried",Canada,"New Zealand",N/A,123,2,Weight in kilograms
