Imports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2023-03-01,"0805.10 - Oranges, fresh or dried",Canada,"Canada",N/A,476,314,Weight in kilograms
2024-02-01,"0805.10 - Oranges, fresh or dried",Canada,"Canada",N/A,64634,49391,Weight in kilograms
2023-03-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",California,19895795,12344599,Weight in kilograms
2024-07-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",California,2804301,1348186,Weight in kilograms
2024-11-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",California,11830064,6155840,Weight in kilograms
2025-10-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",California,1723395,566200,Weight in kilograms
2023-07-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Florida,19753,9007,Weight in kilograms
2024-06-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Florida,13090,6133,Weight in kilograms
2024-12-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Florida,186961,92898,Weight in kilograms
2025-11-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Florida,104993,68499,Weight in kilograms
2023-03-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Idaho,14,8,Weight in kilograms
2023-07-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Illinois,883,70,Weight in kilograms
2024-01-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Illinois,867,152,Weight in kilograms
2024-10-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Illinois,1046,69,Weight in kilograms
2025-06-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Illinois,443,97,Weight in kilograms
2025-06-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Indiana,188,16,Weight in kilograms
2024-06-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Iowa,82,27,Weight in kilograms
2023-12-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Michigan,72,17,Weight in kilograms
2024-07-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Michigan,826,61,Weight in kilograms
2024-11-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Michigan,4622,816,Weight in kilograms
2023-08-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",New Jersey,666,220,Weight in kilograms
2023-11-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",New Jersey,994,335,Weight in kilograms
2024-09-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",New Jersey,6529,5195,Weight in kilograms
2025-06-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",New Jersey,93745,25335,Weight in kilograms
2025-02-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",New York,1233,283,Weight in kilograms
2025-12-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",New York,13418,3943,Weight in kilograms
2024-06-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Oregon,288,54,Weight in kilograms
2023-04-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Texas,59329,41190,Weight in kilograms
2024-03-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Texas,25544,20926,Weight in kilograms
2024-07-01,"0805.10 - Oranges, fresh or dried",Canada,"France",N/A,7496,360,Weight in kilograms
2025-03-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Arizona,1754,380,Weight in kilograms
2023-08-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Arkansas,22648,21300,Weight in kilograms
2025-02-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Hawaii,89,26,Weight in kilograms
2025-02-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Idaho,1,0,Weight in kilograms
2023-03-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Illinois,6,3,Weight in kilograms
2023-07-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Maryland,11124,5914,Weight in kilograms
2024-10-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Maryland,24031,1336,Weight in kilograms
2025-12-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Maryland,146,20,Weight in kilograms
2023-01-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Missouri,6014,3629,Weight in kilograms
2023-08-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",North Dakota,45,18,Weight in kilograms
2025-01-01,"0805.10 - Oranges, fresh or dried",Canada,"United States",Texas,7789,3743,Weight in kilograms
2023-08-01,"0805.10 - Oranges, fresh or dried",Canada,"Italy",N/A,129,66,Weight in kilograms
2025-02-01,"0805.10 - Oranges, fresh or dried",Canada,"Türkiye",N/A,1752571,1146958,Weight in kilograms
2023-11-01,"0805.10 - Oranges, fresh or dried",Canada,"South Africa",N/A,3610080,2237795,Weight in kilograms
2024-12-01,"0805.10 - Oranges, fresh or dried",Canada,"Italy",N/A,9041,1050,Weight in kilograms
2025-04-01,"0805.10 - Oranges, fresh or dried",Canada,"Italy",N/A,8,2,Weight in kilograms
2023-03-01,"0805.10 - Oranges, fresh or dried",Canada,"Portugal",N/A,72692,20475,Weight in kilograms
2025-04-01,"0805.10 - Oranges, fresh or dried",Canada,"Portugal",N/A,21,3,Weight in kilograms
