Imports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2023-01-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Korea, South",N/A,365004,245532,Weight in kilograms
2023-01-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Mexico",N/A,19713,4880,Weight in kilograms
2023-02-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"United States",Arizona,2857,1217,Weight in kilograms
2023-02-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"United States",Wisconsin,9732,1638,Weight in kilograms
2023-01-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Türkiye",N/A,229137,125420,Weight in kilograms
2023-02-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Egypt",N/A,43347,21580,Weight in kilograms
2023-02-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"United States",New Jersey,5060,1221,Weight in kilograms
2023-03-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"United States",Arizona,20576,5636,Weight in kilograms
2023-04-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Thailand",N/A,4664,419,Weight in kilograms
2023-05-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Mexico",N/A,5774,1118,Weight in kilograms
2023-05-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"United States",Florida,116,39,Weight in kilograms
2023-06-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"United States",California,680327,269028,Weight in kilograms
2023-06-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Japan",N/A,120,46,Weight in kilograms
2023-06-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"United States",Arizona,13499,3266,Weight in kilograms
2023-07-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Thailand",N/A,6050,1951,Weight in kilograms
2023-07-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Chile",N/A,162741,97518,Weight in kilograms
2023-07-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"South Africa",N/A,2656053,1436042,Weight in kilograms
2023-08-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"United States",New Jersey,1690,648,Weight in kilograms
2023-10-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Brazil",N/A,4480,792,Weight in kilograms
2023-10-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"South Africa",N/A,6866435,3720865,Weight in kilograms
2023-11-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Chile",N/A,1721792,724629,Weight in kilograms
2023-11-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Jamaica",N/A,184,46,Weight in kilograms
2023-12-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"United States",Texas,76,10,Weight in kilograms
2023-12-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"India",N/A,2270,642,Weight in kilograms
2023-12-01,"0805.21 - Mandarins, including tangerines and satsumas, fresh or dried",Canada,"Viet Nam",N/A,7,3,Weight in kilograms
