Imports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2024-10-01,"0806.10 - Grapes, fresh",Canada,"United States",Arizona,63936,16289,Weight in kilograms
2023-05-01,"0806.10 - Grapes, fresh",Canada,"United States",California,325789,44413,Weight in kilograms
2023-06-01,"0806.10 - Grapes, fresh",Canada,"United States",California,3432412,540425,Weight in kilograms
2024-09-01,"0806.10 - Grapes, fresh",Canada,"United States",California,86592636,24437546,Weight in kilograms
2025-05-01,"0806.10 - Grapes, fresh",Canada,"United States",California,1326639,264715,Weight in kilograms
2025-06-01,"0806.10 - Grapes, fresh",Canada,"United States",California,4667170,840149,Weight in kilograms
2023-09-01,"0806.10 - Grapes, fresh",Canada,"United States",Florida,244268,119353,Weight in kilograms
2024-03-01,"0806.10 - Grapes, fresh",Canada,"United States",Florida,11368,2084,Weight in kilograms
2023-08-01,"0806.10 - Grapes, fresh",Canada,"United States",Georgia,42625,10160,Weight in kilograms
2025-07-01,"0806.10 - Grapes, fresh",Canada,"United States",Georgia,49637,1357,Weight in kilograms
2024-03-01,"0806.10 - Grapes, fresh",Canada,"United States",Massachusetts,1438,166,Weight in kilograms
2024-09-01,"0806.10 - Grapes, fresh",Canada,"United States",Massachusetts,37960,18517,Weight in kilograms
2025-01-01,"0806.10 - Grapes, fresh",Canada,"United States",Michigan,9159,1424,Weight in kilograms
2025-12-01,"0806.10 - Grapes, fresh",Canada,"United States",Michigan,250,72,Weight in kilograms
2024-07-01,"0806.10 - Grapes, fresh",Canada,"United States",New Jersey,2198,2189,Weight in kilograms
2024-08-01,"0806.10 - Grapes, fresh",Canada,"United States",New Jersey,1221,1842,Weight in kilograms
2025-09-01,"0806.10 - Grapes, fresh",Canada,"United States",New Jersey,59181,13962,Weight in kilograms
2023-04-01,"0806.10 - Grapes, fresh",Canada,"United States",New York,11352,3003,Weight in kilograms
2025-09-01,"0806.10 - Grapes, fresh",Canada,"United States",New York,84612,39952,Weight in kilograms
2025-09-01,"0806.10 - Grapes, fresh",Canada,"United States",Oregon,560943,120656,Weight in kilograms
2024-07-01,"0806.10 - Grapes, fresh",Canada,"United States",Washington,1717,1000,Weight in kilograms
2025-06-01,"0806.10 - Grapes, fresh",Canada,"United States",Washington,6785,7184,Weight in kilograms
2024-08-01,"0806.10 - Grapes, fresh",Canada,"Italy",N/A,96732,22083,Weight in kilograms
2024-09-01,"0806.10 - Grapes, fresh",Canada,"Italy",N/A,134805,32732,Weight in kilograms
2025-06-01,"0806.10 - Grapes, fresh",Canada,"Italy",N/A,10750,1350,Weight in kilograms
2023-12-01,"0806.10 - Grapes, fresh",Canada,"Spain",N/A,148468,27888,Weight in kilograms
2024-10-01,"0806.10 - Grapes, fresh",Canada,"Spain",N/A,966860,189846,Weight in kilograms
2025-08-01,"0806.10 - Grapes, fresh",Canada,"Spain",N/A,289857,52146,Weight in kilograms
2025-11-01,"0806.10 - Grapes, fresh",Canada,"Spain",N/A,38713,8500,Weight in kilograms
2023-01-01,"0806.10 - Grapes, fresh",Canada,"South Africa",N/A,10155432,2627131,Weight in kilograms
2023-04-01,"0806.10 - Grapes, fresh",Canada,"South Africa",N/A,6706020,1710834,Weight in kilograms
2024-03-01,"0806.10 - Grapes, fresh",Canada,"South Africa",N/A,19723132,4872982,Weight in kilograms
2025-12-01,"0806.10 - Grapes, fresh",Canada,"South Africa",N/A,1233851,303668,Weight in kilograms
2023-02-01,"0806.10 - Grapes, fresh",Canada,"Namibia",N/A,172816,29745,Weight in kilograms
2023-04-01,"0806.10 - Grapes, fresh",Canada,"India",N/A,1282532,391129,Weight in kilograms
2023-05-01,"0806.10 - Grapes, fresh",Canada,"India",N/A,2189185,630240,Weight in kilograms
2023-07-01,"0806.10 - Grapes, fresh",Canada,"Japan",N/A,12139,2235,Weight in kilograms
2025-09-01,"0806.10 - Grapes, fresh",Canada,"Japan",N/A,14317,1004,Weight in kilograms
2025-10-01,"0806.10 - Grapes, fresh",Canada,"Japan",N/A,21372,1174,Weight in kilograms
2023-02-01,"0806.10 - Grapes, fresh",Canada,"Korea, South",N/A,24944,5509,Weight in kilograms
2023-09-01,"0806.10 - Grapes, fresh",Canada,"Korea, South",N/A,668528,109319,Weight in kilograms
2023-12-01,"0806.10 - Grapes, fresh",Canada,"Korea, South",N/A,650287,122552,Weight in kilograms
2023-02-01,"0806.10 - Grapes, fresh",Canada,"Brazil",N/A,160056,14566,Weight in kilograms
2023-05-01,"0806.10 - Grapes, fresh",Canada,"Brazil",N/A,943475,170139,Weight in kilograms
2023-11-01,"0806.10 - Grapes, fresh",Canada,"Brazil",N/A,3988342,848665,Weight in kilograms
2024-03-01,"0806.10 - Grapes, fresh",Canada,"Brazil",N/A,70075,11318,Weight in kilograms
2024-11-01,"0806.10 - Grapes, fresh",Canada,"Brazil",N/A,3579639,755062,Weight in kilograms
2025-04-01,"0806.10 - Grapes, fresh",Canada,"Brazil",N/A,133972,24100,Weight in kilograms
2024-03-01,"0806.10 - Grapes, fresh",Canada,"Chile",N/A,33851265,7327271,Weight in kilograms
2024-05-01,"0806.10 - Grapes, fresh",Canada,"Chile",N/A,34499192,7725961,Weight in kilograms
2024-12-01,"0806.10 - Grapes, fresh",Canada,"Chile",N/A,55313,9184,Weight in kilograms
2025-09-01,"0806.10 - Grapes, fresh",Canada,"Chile",N/A,19855,14696,Weight in kilograms
