Imports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2023-06-01,"0808.10 - Apples, fresh",Canada,"United States",California,19042,13046,Weight in kilograms
2024-04-01,"0808.10 - Apples, fresh",Canada,"United States",California,5763,1782,Weight in kilograms
2023-03-01,"0808.10 - Apples, fresh",Canada,"United States",Florida,27,12,Weight in kilograms
2023-06-01,"0808.10 - Apples, fresh",Canada,"United States",Florida,27720,14342,Weight in kilograms
2024-01-01,"0808.10 - Apples, fresh",Canada,"United States",Florida,65753,13824,Weight in kilograms
2023-10-01,"0808.10 - Apples, fresh",Canada,"United States",Florida,31938,20004,Weight in kilograms
2024-09-01,"0808.10 - Apples, fresh",Canada,"United States",Illinois,7,1,Weight in kilograms
2024-04-01,"0808.10 - Apples, fresh",Canada,"United States",Massachusetts,296,72,Weight in kilograms
2024-05-01,"0808.10 - Apples, fresh",Canada,"United States",Michigan,268306,135230,Weight in kilograms
2024-08-01,"0808.10 - Apples, fresh",Canada,"United States",Michigan,29590,15078,Weight in kilograms
2024-11-01,"0808.10 - Apples, fresh",Canada,"United States",Michigan,1258,1130,Weight in kilograms
2025-01-01,"0808.10 - Apples, fresh",Canada,"United States",Michigan,154867,107471,Weight in kilograms
2025-06-01,"0808.10 - Apples, fresh",Canada,"United States",Michigan,165,195,Weight in kilograms
2023-01-01,"0808.10 - Apples, fresh",Canada,"United States",Michigan,31326,17428,Weight in kilograms
2024-06-01,"0808.10 - Apples, fresh",Canada,"United States",New Jersey,22348,14710,Weight in kilograms
2025-03-01,"0808.10 - Apples, fresh",Canada,"United States",New Jersey,80659,53136,Weight in kilograms
2023-07-01,"0808.10 - Apples, fresh",Canada,"United States",New York,854889,1526725,Weight in kilograms
2024-04-01,"0808.10 - Apples, fresh",Canada,"United States",New York,1823491,2187536,Weight in kilograms
2024-08-01,"0808.10 - Apples, fresh",Canada,"United States",New York,1078237,3104118,Weight in kilograms
2025-04-01,"0808.10 - Apples, fresh",Canada,"United States",New York,625129,1749025,Weight in kilograms
2025-09-01,"0808.10 - Apples, fresh",Canada,"United States",New York,1334766,3375828,Weight in kilograms
2025-12-01,"0808.10 - Apples, fresh",Canada,"United States",New York,391326,777266,Weight in kilograms
2023-02-01,"0808.10 - Apples, fresh",Canada,"United States",Oregon,17068,9883,Weight in kilograms
2023-06-01,"0808.10 - Apples, fresh",Canada,"United States",Oregon,24752,13141,Weight in kilograms
2023-07-01,"0808.10 - Apples, fresh",Canada,"United States",Oregon,8593,4355,Weight in kilograms
2023-10-01,"0808.10 - Apples, fresh",Canada,"United States",Oregon,21,11,Weight in kilograms
2024-05-01,"0808.10 - Apples, fresh",Canada,"United States",Oregon,4850,2196,Weight in kilograms
2023-04-01,"0808.10 - Apples, fresh",Canada,"United States",Oregon,17260,7141,Weight in kilograms
2024-05-01,"0808.10 - Apples, fresh",Canada,"United States",Pennsylvania,3878,1375,Weight in kilograms
