Imports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2023-05-01,"0810.10 - Strawberries, fresh",Canada,"Canada",N/A,47790,12192,Weight in kilograms
2024-07-01,"0810.10 - Strawberries, fresh",Canada,"Canada",N/A,64134,14225,Weight in kilograms
2024-08-01,"0810.10 - Strawberries, fresh",Canada,"Canada",N/A,4823,871,Weight in kilograms
2025-04-01,"0810.10 - Strawberries, fresh",Canada,"Canada",N/A,23282,3182,Weight in kilograms
2023-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",Arizona,160,41,Weight in kilograms
2024-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,7074541,1009745,Weight in kilograms
2024-05-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,63799369,16686987,Weight in kilograms
2024-09-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,46640916,7937410,Weight in kilograms
2025-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,5346214,765088,Weight in kilograms
2025-08-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,37484733,6839520,Weight in kilograms
2025-09-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,34385153,6063858,Weight in kilograms
2025-11-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,19944192,1898315,Weight in kilograms
2023-03-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,17390255,4302897,Weight in kilograms
2023-04-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,369787,57551,Weight in kilograms
2024-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,13447898,2622684,Weight in kilograms
2024-05-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,473326,101703,Weight in kilograms
2024-07-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,154236,33973,Weight in kilograms
2024-08-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,240770,68389,Weight in kilograms
2025-03-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,17636559,5076591,Weight in kilograms
2025-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",Georgia,68418,19495,Weight in kilograms
2024-04-01,"0810.10 - Strawberries, fresh",Canada,"United States",Illinois,10406,907,Weight in kilograms
2025-01-01,"0810.10 - Strawberries, fresh",Canada,"United States",Kentucky,212200,25129,Weight in kilograms
2025-06-01,"0810.10 - Strawberries, fresh",Canada,"United States",Kentucky,52279,4399,Weight in kilograms
2024-05-01,"0810.10 - Strawberries, fresh",Canada,"United States",Maryland,3520,576,Weight in kilograms
2024-05-01,"0810.10 - Strawberries, fresh",Canada,"United States",Michigan,984,240,Weight in kilograms
2025-11-01,"0810.10 - Strawberries, fresh",Canada,"United States",Michigan,345,45,Weight in kilograms
2023-08-01,"0810.10 - Strawberries, fresh",Canada,"United States",Minnesota,355,48,Weight in kilograms
2023-03-01,"0810.10 - Strawberries, fresh",Canada,"United States",Ohio,492,109,Weight in kilograms
2023-09-01,"0810.10 - Strawberries, fresh",Canada,"United States",Ohio,19555,3281,Weight in kilograms
2024-05-01,"0810.10 - Strawberries, fresh",Canada,"United States",Ohio,1556310,103667,Weight in kilograms
2023-06-01,"0810.10 - Strawberries, fresh",Canada,"United States",Pennsylvania,83786,24385,Weight in kilograms
2024-06-01,"0810.10 - Strawberries, fresh",Canada,"United States",Pennsylvania,39246,10665,Weight in kilograms
2024-01-01,"0810.10 - Strawberries, fresh",Canada,"United States",Texas,172172,20047,Weight in kilograms
2023-03-01,"0810.10 - Strawberries, fresh",Canada,"United States",Washington,9603,1189,Weight in kilograms
2025-01-01,"0810.10 - Strawberries, fresh",Canada,"United States",Washington,458,24,Weight in kilograms
2024-10-01,"0810.10 - Strawberries, fresh",Canada,"United States",Wisconsin,18409,1592,Weight in kilograms
2025-06-01,"0810.10 - Strawberries, fresh",Canada,"United States",Wisconsin,16734,1570,Weight in kilograms
2025-09-01,"0810.10 - Strawberries, fresh",Canada,"United States",Wisconsin,15579,1053,Weight in kilograms
2023-01-01,"0810.10 - Strawberries, fresh",Canada,"Spain",N/A,30032,4294,Weight in kilograms
2024-04-01,"0810.10 - Strawberries, fresh",Canada,"Spain",N/A,44783,6320,Weight in kilograms
2025-01-01,"0810.10 - Strawberries, fresh",Canada,"Senegal",N/A,6,0,Weight in kilograms
2024-01-01,"0810.10 - Strawberries, fresh",Canada,"Korea, South",N/A,275025,7216,Weight in kilograms
2023-03-01,"0810.10 - Strawberries, fresh",Canada,"Mexico",N/A,23424649,3686022,Weight in kilograms
2023-06-01,"0810.10 - Strawberries, fresh",Canada,"Mexico",N/A,774521,181882,Weight in kilograms
2024-04-01,"0810.10 - Strawberries, fresh",Canada,"Mexico",N/A,9686539,1783601,Weight in kilograms
2024-08-01,"0810.10 - Strawberries, fresh",Canada,"Mexico",N/A,952496,153647,Weight in kilograms
2025-06-01,"0810.10 - Strawberries, fresh",Canada,"Mexico",N/A,3082493,1414674,Weight in kilograms
2025-12-01,"0810.10 - Strawberries, fresh",Canada,"Canada",N/A,220,80,Weight in kilograms
2023-01-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,3292235,398880,Weight in kilograms
2023-10-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,47764078,8387761,Weight in kilograms
2024-04-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,50163269,10509963,Weight in kilograms
2025-10-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,33134118,4247352,Weight in kilograms
2025-12-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,15309581,1821838,Weight in kilograms
2023-09-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,38980,13763,Weight in kilograms
2024-06-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,341166,79699,Weight in kilograms
2025-10-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,26916,33884,Weight in kilograms
2023-01-01,"0810.10 - Strawberries, fresh",Canada,"United States",Kentucky,24077,2613,Weight in kilograms
2024-11-01,"0810.10 - Strawberries, fresh",Canada,"United States",Kentucky,148670,44621,Weight in kilograms
2024-12-01,"0810.10 - Strawberries, fresh",Canada,"United States",Kentucky,848426,118556,Weight in kilograms
2024-11-01,"0810.10 - Strawberries, fresh",Canada,"United States",Maine,279,40,Weight in kilograms
2023-01-01,"0810.10 - Strawberries, fresh",Canada,"United States",Maryland,1270,248,Weight in kilograms
2024-05-01,"0810.10 - Strawberries, fresh",Canada,"United States",Massachusetts,12925,1277,Weight in kilograms
2023-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",Michigan,271,64,Weight in kilograms
2024-03-01,"0810.10 - Strawberries, fresh",Canada,"United States",Michigan,517,480,Weight in kilograms
2024-08-01,"0810.10 - Strawberries, fresh",Canada,"United States",Michigan,125,12,Weight in kilograms
2025-09-01,"0810.10 - Strawberries, fresh",Canada,"United States",New Jersey,3711,118,Weight in kilograms
2023-05-01,"0810.10 - Strawberries, fresh",Canada,"United States",New York,152517,16460,Weight in kilograms
2023-06-01,"0810.10 - Strawberries, fresh",Canada,"United States",New York,6449,1414,Weight in kilograms
2024-04-01,"0810.10 - Strawberries, fresh",Canada,"United States",New York,150853,16198,Weight in kilograms
2024-05-01,"0810.10 - Strawberries, fresh",Canada,"United States",New York,415744,91496,Weight in kilograms
2025-12-01,"0810.10 - Strawberries, fresh",Canada,"United States",New York,5626,122,Weight in kilograms
2024-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",Ohio,513758,86313,Weight in kilograms
2024-09-01,"0810.10 - Strawberries, fresh",Canada,"United States",Ohio,427371,41031,Weight in kilograms
2025-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",Ohio,509422,37255,Weight in kilograms
2023-07-01,"0810.10 - Strawberries, fresh",Canada,"United States",Oregon,4746,1089,Weight in kilograms
2024-08-01,"0810.10 - Strawberries, fresh",Canada,"United States",Pennsylvania,594,98,Weight in kilograms
2025-04-01,"0810.10 - Strawberries, fresh",Canada,"United States",Pennsylvania,11961,2180,Weight in kilograms
2024-11-01,"0810.10 - Strawberries, fresh",Canada,"United States",Texas,112891,14169,Weight in kilograms
2025-10-01,"0810.10 - Strawberries, fresh",Canada,"United States",Texas,62789,8709,Weight in kilograms
2023-08-01,"0810.10 - Strawberries, fresh",Canada,"United States",Washington,9162,1142,Weight in kilograms
2023-08-01,"0810.10 - Strawberries, fresh",Canada,"United States",Wisconsin,40230,4635,Weight in kilograms
2023-08-01,"0810.10 - Strawberries, fresh",Canada,"Italy",N/A,12,2,Weight in kilograms
2023-02-01,"0810.10 - Strawberries, fresh",Canada,"Spain",N/A,58013,8045,Weight in kilograms
2024-01-01,"0810.10 - Strawberries, fresh",Canada,"Spain",N/A,8279,941,Weight in kilograms
2024-02-01,"0810.10 - Strawberries, fresh",Canada,"Spain",N/A,191794,17607,Weight in kilograms
2025-05-01,"0810.10 - Strawberries, fresh",Canada,"Spain",N/A,121464,11087,Weight in kilograms
2023-04-01,"0810.10 - Strawberries, fresh",Canada,"Korea, South",N/A,11708,1577,Weight in kilograms
2024-02-01,"0810.10 - Strawberries, fresh",Canada,"Korea, South",N/A,202681,4775,Weight in kilograms
2025-02-01,"0810.10 - Strawberries, fresh",Canada,"Korea, South",N/A,115524,3008,Weight in kilograms
2023-07-01,"0810.10 - Strawberries, fresh",Canada,"Jamaica",N/A,280,112,Weight in kilograms
2023-09-01,"0810.10 - Strawberries, fresh",Canada,"Mexico",N/A,79776,8705,Weight in kilograms
2024-10-01,"0810.10 - Strawberries, fresh",Canada,"Mexico",N/A,2472036,431108,Weight in kilograms
2025-09-01,"0810.10 - Strawberries, fresh",Canada,"Mexico",N/A,196371,37993,Weight in kilograms
2023-06-01,"0810.10 - Strawberries, fresh",Canada,"United States",California,58862061,15279212,Weight in kilograms
2023-01-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,9713202,1290860,Weight in kilograms
2024-09-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,702450,129728,Weight in kilograms
2024-10-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,50117,7844,Weight in kilograms
2024-11-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,384983,50780,Weight in kilograms
2024-12-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,7848328,954641,Weight in kilograms
2025-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",Florida,19958582,4090162,Weight in kilograms
2024-04-01,"0810.10 - Strawberries, fresh",Canada,"United States",Kentucky,364329,47038,Weight in kilograms
2024-06-01,"0810.10 - Strawberries, fresh",Canada,"United States",Kentucky,30240,15241,Weight in kilograms
2023-08-01,"0810.10 - Strawberries, fresh",Canada,"United States",Maryland,2451,350,Weight in kilograms
2024-01-01,"0810.10 - Strawberries, fresh",Canada,"United States",Maryland,1170,123,Weight in kilograms
2024-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",Massachusetts,7748,578,Weight in kilograms
2024-08-01,"0810.10 - Strawberries, fresh",Canada,"United States",Massachusetts,1221,155,Weight in kilograms
2023-11-01,"0810.10 - Strawberries, fresh",Canada,"United States",Michigan,2874,517,Weight in kilograms
2024-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",Michigan,71058,8712,Weight in kilograms
2024-07-01,"0810.10 - Strawberries, fresh",Canada,"United States",Michigan,1266,71,Weight in kilograms
2024-10-01,"0810.10 - Strawberries, fresh",Canada,"United States",Michigan,4763,686,Weight in kilograms
2025-02-01,"0810.10 - Strawberries, fresh",Canada,"United States",Michigan,4511,1819,Weight in kilograms
