Imports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2023-01-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",New Jersey,4,0,Weight in kilograms
2023-02-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",California,1406120,131680,Weight in kilograms
2023-03-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",Texas,713390,82240,Weight in kilograms
2023-06-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",Georgia,1086077,94084,Weight in kilograms
2023-06-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",Washington,50366,3309,Weight in kilograms
2023-02-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"Chile",N/A,2058,264,Weight in kilograms
2023-05-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",Texas,41267,5443,Weight in kilograms
2023-06-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"Bangladesh",N/A,43,5,Weight in kilograms
2023-06-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"Guatemala",N/A,76735,6538,Weight in kilograms
2023-09-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",Pennsylvania,41510,2792,Weight in kilograms
2023-07-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",Texas,111852,11968,Weight in kilograms
2023-08-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",Texas,34753,7200,Weight in kilograms
2024-01-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",California,3519706,242983,Weight in kilograms
2024-03-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",Florida,66449,18144,Weight in kilograms
2024-05-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",Wisconsin,1,0,Weight in kilograms
2024-06-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",California,27299204,2449951,Weight in kilograms
2024-06-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",Wisconsin,11818,588,Weight in kilograms
2024-06-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"United States",Florida,809315,103097,Weight in kilograms
2024-05-01,"0810.20 - Raspberries, blackberries, mulberries and loganberries, fresh",Canada,"Guatemala",N/A,127441,13886,Weight in kilograms
