Imports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2023-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Mexico",N/A,22544403,1873852,Weight in kilograms
2023-05-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Washington,6128,626,Weight in kilograms
2023-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Mexico",N/A,4598702,425252,Weight in kilograms
2023-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",New Jersey,13728576,1785080,Weight in kilograms
2023-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Michigan,1141171,124566,Weight in kilograms
2023-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",New Jersey,43856,16051,Weight in kilograms
2023-09-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,464658,34836,Weight in kilograms
2023-10-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,23533543,1658529,Weight in kilograms
2023-10-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Canada",N/A,2547,490,Weight in kilograms
2023-12-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Washington,684,54,Weight in kilograms
2024-02-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,556752,27737,Weight in kilograms
2024-03-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Chile",N/A,3072937,428516,Weight in kilograms
2024-03-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,2237928,147881,Weight in kilograms
2024-03-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Florida,154003,10102,Weight in kilograms
2024-02-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Wisconsin,1715,728,Weight in kilograms
2024-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",New Jersey,402692,42467,Weight in kilograms
2024-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,2408659,173790,Weight in kilograms
2024-05-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Washington,67860,22453,Weight in kilograms
2024-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Michigan,231903,28609,Weight in kilograms
2024-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,53671,3429,Weight in kilograms
2024-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Washington,20030481,5535163,Weight in kilograms
2024-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Florida,98546,11104,Weight in kilograms
2024-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",North Carolina,5458595,835737,Weight in kilograms
2024-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Washington,3475029,469595,Weight in kilograms
2024-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Washington,33421628,10973829,Weight in kilograms
2024-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Canada",N/A,855020,127072,Weight in kilograms
2024-09-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Argentina",N/A,444783,30716,Weight in kilograms
2024-10-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Minnesota,414,82,Weight in kilograms
2024-10-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,327279,14731,Weight in kilograms
2024-10-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Wisconsin,180148,31800,Weight in kilograms
2024-11-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",New Jersey,795,108,Weight in kilograms
2024-11-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Maine,146575,33196,Weight in kilograms
2024-11-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Oregon,23467,18216,Weight in kilograms
2025-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Mexico",N/A,9132924,829929,Weight in kilograms
2025-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,79799,8965,Weight in kilograms
2025-02-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,13573835,1414347,Weight in kilograms
2025-03-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Chile",N/A,2248816,348512,Weight in kilograms
2025-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,1381375,87112,Weight in kilograms
2025-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,3486613,292079,Weight in kilograms
2025-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Mexico",N/A,23064938,1671679,Weight in kilograms
2025-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",New Jersey,131657,25032,Weight in kilograms
2025-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Mexico",N/A,66352,3483,Weight in kilograms
2025-10-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,679440,72656,Weight in kilograms
2025-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Colorado,1,1,Weight in kilograms
2025-10-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Canada",N/A,66305,14061,Weight in kilograms
2025-12-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,333096,21830,Weight in kilograms
2023-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Canada",N/A,99,8,Weight in kilograms
2023-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,10200035,1118672,Weight in kilograms
2023-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,135620,11931,Weight in kilograms
2023-03-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,6361261,573232,Weight in kilograms
2023-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Delaware,9226,2177,Weight in kilograms
2023-02-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Washington,135642,35924,Weight in kilograms
2023-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"India",N/A,1986,253,Weight in kilograms
2023-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Texas,58134,6216,Weight in kilograms
2023-05-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"India",N/A,2271,261,Weight in kilograms
2023-05-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Florida,1690982,176059,Weight in kilograms
2023-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",North Carolina,9468556,1154353,Weight in kilograms
2023-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Mexico",N/A,490906,60065,Weight in kilograms
2023-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,1430639,118904,Weight in kilograms
2023-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Mexico",N/A,261075,35603,Weight in kilograms
2023-09-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",New Jersey,800,40,Weight in kilograms
2023-10-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",New Jersey,1045,74,Weight in kilograms
2023-10-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Wisconsin,67391,13433,Weight in kilograms
2023-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United Arab Emirates",N/A,120,9,Weight in kilograms
2023-11-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Uruguay",N/A,78353,18108,Weight in kilograms
2023-12-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Michigan,55924,2754,Weight in kilograms
2024-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Chile",N/A,11938132,1211585,Weight in kilograms
2024-02-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Colombia",N/A,1355,82,Weight in kilograms
2024-03-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Mexico",N/A,19610873,1486360,Weight in kilograms
2024-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Canada",N/A,1,0,Weight in kilograms
2024-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Morocco",N/A,3735777,258402,Weight in kilograms
2024-05-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Oregon,8,13,Weight in kilograms
2024-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,40890,3916,Weight in kilograms
2024-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Florida,164234,23057,Weight in kilograms
2024-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Colombia",N/A,637,98,Weight in kilograms
2024-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Maine,2222992,2594105,Weight in kilograms
2024-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",North Carolina,177680,31077,Weight in kilograms
2024-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Maine,7143398,8052236,Weight in kilograms
2024-09-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,248998,19848,Weight in kilograms
2024-09-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Georgia,27523,4406,Weight in kilograms
2024-09-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Mexico",N/A,364586,27532,Weight in kilograms
2024-10-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",New Jersey,4247,211,Weight in kilograms
2024-09-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Maine,30400,20900,Weight in kilograms
2024-09-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Australia",N/A,18097,800,Weight in kilograms
2024-11-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,56781744,5957007,Weight in kilograms
2024-11-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Illinois,92318,15676,Weight in kilograms
2024-11-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,150213,11325,Weight in kilograms
2024-12-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Mexico",N/A,5366956,531949,Weight in kilograms
2024-11-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Argentina",N/A,97183,18750,Weight in kilograms
2025-03-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,1274093,67287,Weight in kilograms
2025-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Morocco",N/A,1980567,130014,Weight in kilograms
2025-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Washington,502529,106303,Weight in kilograms
2025-02-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Oregon,234466,74217,Weight in kilograms
2025-05-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,1197897,107697,Weight in kilograms
2025-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,171448,20573,Weight in kilograms
2025-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,14057588,1603586,Weight in kilograms
2025-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Morocco",N/A,3,3,Weight in kilograms
2025-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",North Carolina,606778,56717,Weight in kilograms
2025-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Washington,32978840,11494681,Weight in kilograms
2025-11-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Morocco",N/A,44101,3856,Weight in kilograms
2025-11-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Florida,144876,16773,Weight in kilograms
2023-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Chile",N/A,14264989,1844061,Weight in kilograms
2023-01-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Wisconsin,62731,12935,Weight in kilograms
2023-02-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Morocco",N/A,1534130,100943,Weight in kilograms
2023-03-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Texas,4777,327,Weight in kilograms
2023-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Peru",N/A,2189297,209482,Weight in kilograms
2023-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Florida,6391858,612302,Weight in kilograms
2023-05-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",New Jersey,214022,27325,Weight in kilograms
2023-04-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,1253508,85036,Weight in kilograms
2023-05-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Morocco",N/A,892430,99695,Weight in kilograms
2023-05-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Georgia,12347952,1613651,Weight in kilograms
2023-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Chile",N/A,30335,1939,Weight in kilograms
2023-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",California,12144325,1218214,Weight in kilograms
2023-06-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Wisconsin,2776,217,Weight in kilograms
2023-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",New Jersey,5210742,748153,Weight in kilograms
2023-07-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Canada",N/A,3930,1228,Weight in kilograms
2023-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Maine,7831335,9537378,Weight in kilograms
2023-08-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Oregon,952531,92680,Weight in kilograms
2023-09-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"Argentina",N/A,97782,20936,Weight in kilograms
2023-09-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",Georgia,174582,15546,Weight in kilograms
2023-11-01,"0810.40 - Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",Canada,"United States",New Jersey,9286,2764,Weight in kilograms
